STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,Reference area,Frequency of observation,Measure,Age,Sex,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1981,132.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1982,131
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1983,134.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1984,137.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1985,143.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1986,138.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1987,140.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1988,141.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1989,137.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1990,139.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1991,140.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1992,142.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1993,143.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1994,145.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1995,140.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1996,137.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1997,139.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1998,142.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1999,146.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2000,154.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2001,154.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2002,159.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2003,158.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2004,161.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2005,165
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2006,162.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2007,163.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2008,161.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2009,159.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2010,161.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2011,162.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2012,163.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2013,162.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2014,162.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2015,163.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2016,164.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2017,165.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2018,170.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2019,175
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2020,176.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,2021,178.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,1978,28.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,1989,25.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,1992,24.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,1995,24.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,1999,24.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2003,24.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2005,23.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2009,21.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,20.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,18.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Germany,Annual,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,14.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,1997,44.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,1998,44.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,1999,44.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2000,44
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2001,44.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2002,43.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2003,45
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2004,44.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2005,43.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2006,42.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2007,43
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2008,42.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2009,42.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2010,42
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2011,41.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2012,42.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2013,41.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2014,41.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2015,39.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2016,41.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2017,40.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2018,40.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2019,39.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2020,39.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2021,39.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are overweight,Total,Male,Percentage of population,2022,39.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1993,27.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1994,26.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1995,27.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1996,30.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1997,29.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1998,28.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,1999,29.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2000,27.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2001,27.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2002,27.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2003,26.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2005,27.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2006,25.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2007,25.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2008,27.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2009,26.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,27.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,26.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,25.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,25.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,22.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,22.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,21
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,20.9
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,23.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,20.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,20.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,19
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,Italy,Annual,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2022,20.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1965,45.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1966,44.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1970,38
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1974,37.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1976,39.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1977,38.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1978,34.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1979,34.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1980,33.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1983,34.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1985,29.3
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,1987,27.1
